"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue","Chargeback Ratio"
938,"ince ","https://skweezer.net, https://verifiedbadge.co",USD,"Marketing and advertising",,Low,83638.74,100.00,1.35
939,"AB ""Š",https://tipsyapp.net,EUR,SaaS,,Medium,102.00,125.13,7.14
941,"MM se","https://roximat.com, https://teerex.net",USD,"Clothing and shoes, Web hosting","5399, 7399",Low,416.00,57.36,0.00
946,"AB ""S","https://cupolus.co.uk, https://cupolus.lt",EUR,"Home appliances, Household supplies",,Low,89.73,1.26,0.00
949,"AB ""V",https://forlashes.com,EUR,"Beauty and fragrances",,Medium,2611.59,33.52,0.00
951,"B ""So","https://agoratees.com, https://bestgottees.com, https://bloomtees.com",USD,"Clothing and shoes",,Low,40.99,2.11,0.00
952,"AB ""A",https://indivi.lt,EUR,Accessories,,Low,893.00,24.50,0.00
953,"AB ""N",https://namutekstile.lt,EUR,"Home appliances",,Low,495.98,66.67,0.00
958,"AB ""V","https://babydo.ee, https://babydo.lt, https://babydo.lv",EUR,"Clothing and shoes",,Low,888.25,58.80,0.00
961,"ui Ma",https://sacamainenliege.com,EUR,Accessories,,Low,2333.00,0.00,0.00
981,"AB ""E",https://stockinvest.us,USD,Memberships,,Low,1056.33,51.01,4.00
986,"AB ""D","https://lovatieses.lt, https://uzraktai.lt",EUR,"Household supplies",,Low,33.44,25.96,0.00
990,"AB ""K",https://wowflowers.lt,EUR,"Flowers and gifts",,Low,2222.15,179.74,0.00
998,"y Gho","https://edmwarriors.com, https://ghostloops.com, https://myghostmarket.com, https://piratebeats.com",EUR,Entertainment,,Low,5192.60,35.27,0.00
999,ainor,https://2hd-lashes.fr,EUR,"Beauty and fragrances",,Low,128.32,6.43,0.00
1000,-spec,https://e-kartuse.si,EUR,"Computers, accessories, and services",,Low,602.57,2.00,0.00
1006,eleco,https://surfroam.com,EUR,"Mobile pre-paid card credits",,Low,19821.00,331.33,0.00
1009,ecnik,https://urarstvo-lecnik.si,EUR,Electronics,,Low,5167.95,355.54,0.00
1014,"ed Li","https://red-life.co.uk, https://red-life.com, https://red-life.cz, https://red-life.de, https://red-life.net, https://red-life.pl, https://red-life.ro, https://red-life.sk",EUR,"Escort Advertising",,Low,550.00,52.03,0.00
1017,ainiu,https://uzduociudezute.lt,EUR,Games,,Low,429.82,42.36,0.00
1019,"mrlj,",https://cmrlj.biz,EUR,"Books and magazines",,Low,356.50,39.56,0.00
1020,"AB ""E","https://std-tests.com, https://test2health.com",GBP,"Vitamins and food supplements",,Low,163.61,0.00,0.00
1025,zuvil,"https://vivamodel.be, https://vivamodel.com, https://vivamodel.es, https://vivamodel.fr, https://vivamodel.lu",EUR,"Escort Advertising",,Low,30.00,6.91,0.00
1031,"ida G",https://dardar.lt,EUR,"Clothing and shoes",,Low,242.50,24.05,0.00
1041,drien,https://jumpplusworld.com,EUR,"Sports equipment",,Low,594.75,36.14,0.00
1050,"B ""Ga",https://getfast.lt,EUR,SaaS,,Low,108.11,9.00,0.00
