"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue"
949,"AB ""V",https://forlashes.com,EUR,"Beauty and fragrances",,Medium,2989.93,33.52
951,"B ""So",https://agoratees.com,USD,"Clothing and shoes",,Low,40.99,2.11
952,"AB ""A",https://indivi.lt,EUR,Accessories,,Low,893.00,24.50
953,"AB ""N",https://namutekstile.lt,EUR,"Home appliances",,Low,522.98,66.67
958,"AB ""V",https://babydo.lt,EUR,"Clothing and shoes",,Low,901.20,58.80
961,"ui Ma",https://sacamainenliege.com,EUR,Accessories,,Low,2333.00,0.00
981,"AB ""E",https://stockinvest.us,USD,Memberships,,Low,1072.25,51.01
986,"AB ""D",https://lovatieses.lt,EUR,"Household supplies",,Low,270.14,25.96
990,"AB ""K",https://wowflowers.lt,EUR,"Flowers and gifts",,Low,2392.15,179.74
998,"y Gho",https://myghostmarket.com,EUR,Entertainment,,Low,5622.60,35.27
999,ainor,https://2hd-lashes.fr,EUR,"Beauty and fragrances",,Low,128.32,6.43
1000,-spec,https://e-kartuse.si,EUR,"Computers, accessories, and services",,Low,602.57,2.00
1006,eleco,https://surfroam.com,EUR,"Mobile pre-paid card credits",,Low,20724.50,331.33
1009,ecnik,https://urarstvo-lecnik.si,EUR,Electronics,,Low,5167.95,355.54
1014,"ed Li",https://red-life.net,EUR,"Escort Advertising",,Low,550.00,52.03
1017,ainiu,https://uzduociudezute.lt,EUR,Games,,Low,429.82,42.36
1019,"mrlj,",https://cmrlj.biz,EUR,"Books and magazines",,Low,356.50,39.56
1020,"AB ""E",https://selvsjekk.com,GBP,"Vitamins and food supplements",,Low,163.61,0.00
1025,zuvil,https://vivamodel.com,EUR,"Escort Advertising",,Low,30.00,6.91
1031,"ida G",https://dardar.lt,EUR,"Clothing and shoes",,Low,242.50,24.05
1041,drien,https://jumpplusworld.com,EUR,"Sports equipment",,Low,627.55,36.14
1050,"B ""Ga",https://getfast.lt,EUR,SaaS,,Low,108.11,9.00
1053,kinny,https://fiveabook.com,USD,"Books and magazines",,Low,59.60,13.66
1053,kinny,https://fiveabook.com,EUR,"Books and magazines",,Low,0.50,0.52
1054,"omas ",https://slimstore.lt,EUR,"Clothing and shoes",,Low,200.30,8.81
1059,"AB ""V",https://obdeleven.com,USD,Gadgets,,Low,9779.99,762.44
1059,"AB ""V",https://obdeleven.com,GBP,Gadgets,,Low,2368.61,210.63
1059,"AB ""V",https://obdeleven.com,EUR,Gadgets,,Low,53129.83,1793.33
1062,"B ""Ne",https://nesuslapk.lt,EUR,"Home appliances",,Low,1116.85,8.89
1065,ierel,https://nuovagioielleria.it,EUR,Accessories,,Low,3848.31,419.87
